biological_family,spore_size_um,spore_shape,wall_type,ornamentation,gene_ITS,genetic_cluster,gc_content,habitat_type,elevation_m,mean_temp_c,pH,conductividad_ds_m,nitrogeno_total_pct,textura_Arcillosa,textura_Arenosa,textura_Franca,textura_Limosa
Agaricaceae,260.09,0,1,2,1.0,0,44.55,3,3724.0,5.5,-0.3251561453859682,-0.7544845280946698,-1.099241943686348,0.0,1.0,0.0,0.0
Agaricaceae,87.41,1,1,0,1.0,0,49.46,3,3346.0,7.6,0.4984892112199834,-0.8284189858026515,-1.3564416898764833,1.0,0.0,0.0,0.0
Agaricaceae,71.75,1,0,3,0.0,0,51.17,0,2260.0,13.6,-0.1421238439179791,0.8784107807130375,-0.0506583630650241,0.0,0.0,0.0,1.0
Agaricaceae,103.37,1,0,2,1.0,1,50.23,3,3744.0,5.4,0.6713530514953076,-0.8115196811836842,-0.5650578554452959,1.0,0.0,0.0,0.0
Agaricaceae,99.66,1,0,0,1.0,2,42.65,1,1501.0,17.7,-0.4370092185052953,-0.2960908903051841,1.1166327927209772,0.0,0.0,1.0,0.0
Agaricaceae,231.19,0,1,1,1.0,2,43.71,1,1899.0,15.6,0.0714138411280083,-0.1313226702702538,1.1166327927209772,0.0,0.0,0.0,1.0
Agaricaceae,98.97,1,0,2,1.0,2,46.31,0,2192.0,13.9,-0.8132422826339393,-0.8284189858026515,-0.2682889175336009,0.0,0.0,1.0,0.0
Agaricaceae,265.65,1,1,1,1.0,0,45.42,1,1390.0,18.4,0.4781522888346517,-0.8284189858026515,-0.2682889175336009,0.0,0.0,1.0,0.0
Agaricaceae,216.89,0,1,1,1.0,2,46.81,0,2384.0,12.9,0.152761530669337,-0.7185735057793645,-0.1495813423689226,1.0,0.0,0.0,0.0
Agaricaceae,174.54,1,1,2,1.0,1,47.48,3,3265.0,8.0,-0.8844215109826021,-0.4101611964832128,0.0878338079604331,0.0,0.0,0.0,1.0
Agaricaceae,61.93,1,2,2,1.0,2,48.76,3,3016.0,9.4,-0.6403784423586161,-0.1292102571928828,0.6022333003407054,1.0,0.0,0.0,0.0
Agaricaceae,87.74,1,2,2,1.0,2,50.12,1,1769.0,16.3,0.1222561470913394,-0.8284189858026515,0.8792176423916207,0.0,0.0,1.0,0.0
Agaricaceae,113.1,2,0,0,1.0,2,46.44,0,2609.0,11.7,-1.7690776347445507,-0.3974867180189874,-0.4265656844198385,1.0,0.0,0.0,0.0
Agaricaceae,97.33,1,1,0,1.0,2,47.44,1,1984.0,15.1,1.3424714902112678,-0.3446763910847149,-0.32764270511594,0.0,1.0,0.0,0.0
Agaricaceae,172.44,1,1,1,1.0,0,49.76,0,2700.0,11.2,1.2306184170919414,-0.6889997226961718,1.6112476892404697,0.0,0.0,0.0,1.0
Agaricaceae,81.29,2,1,0,1.0,3,49.48,3,3090.0,9.0,0.0205715351646781,-0.3383391518526021,-0.6046270471668552,0.0,1.0,0.0,0.0
Agaricaceae,53.14,1,2,2,0.0,2,49.49,1,1724.0,16.5,-0.1726292274959767,-0.7354728103983317,-0.6837654306099741,0.0,1.0,0.0,0.0
Agaricaceae,82.01,1,0,3,1.0,2,47.91,0,2729.0,11.0,0.4883207500273175,0.9776941953494698,-0.2287197258120415,0.0,1.0,0.0,0.0
Agaricaceae,88.7,1,1,2,1.0,0,48.87,2,4150.0,3.2,0.6916899738806392,-0.1735709318176718,0.859433046530841,1.0,0.0,0.0,0.0
Agaricaceae,153.13,1,1,1,0.0,2,46.1,3,3106.0,8.9,0.0409084575500108,1.8078725347562343,-1.5938568402058395,0.0,0.0,1.0,0.0
Agaricaceae,121.16,2,0,0,0.0,2,49.5,0,2053.0,14.7,1.0475861156239514,-0.0088027117827414,0.6813716837838242,0.0,1.0,0.0,0.0
Agaricaceae,119.89,2,0,0,0.0,3,42.3,1,1250.0,19.1,-1.819919940707881,-0.8284189858026515,-2.7413634001310614,0.0,0.0,0.0,1.0
Agaricaceae,67.49,1,2,2,1.0,2,47.21,3,3552.0,6.5,0.0409084575500108,-0.6615383526903502,0.4835257251760272,1.0,0.0,0.0,0.0
Agaricaceae,140.06,1,0,2,1.0,0,44.42,0,2037.0,14.8,-1.758909173551885,-0.3615756957036821,0.6615870879230445,0.0,0.0,0.0,1.0
Agaricaceae,97.41,1,1,2,1.0,3,45.32,3,3511.0,6.7,-2.1351422376805296,-0.6235149172976739,0.6220178962014852,1.0,0.0,0.0,0.0
Agaricaceae,290.08,1,1,2,1.0,2,48.55,0,2191.0,13.9,-1.1081276572212555,0.5087384921731295,-0.2485043216728212,0.0,1.0,0.0,0.0
Agaricaceae,128.17,2,0,0,1.0,2,42.9,2,4131.0,3.3,-0.091281537954648,-0.4545218711080017,0.0284800203780946,0.0,0.0,0.0,1.0
Agaricaceae,53.76,1,2,2,0.0,2,42.08,1,1468.0,17.9,-0.1421238439179791,1.2459706561755746,-1.079457347825568,0.0,0.0,1.0,0.0
Agaricaceae,67.75,1,2,2,0.0,2,42.27,1,1569.0,17.4,-1.0877907348359237,-0.8284189858026515,-1.851056586395976,0.0,0.0,0.0,1.0
Agaricaceae,99.83,1,0,3,1.0,1,45.05,0,2893.0,10.1,1.9627476229638996,-0.5221190895838707,0.068049212099654,1.0,0.0,0.0,0.0
Agaricaceae,126.05,2,1,0,1.0,2,43.91,1,1319.0,18.7,0.1832669142473355,1.8543456224583943,1.9871550105952829,1.0,0.0,0.0,0.0
Agaricaceae,61.55,1,2,2,1.0,2,47.72,3,3010.0,9.4,-0.2539769170373054,1.9557414501721968,-1.257518710572585,0.0,0.0,1.0,0.0
Agaricaceae,264.34,1,1,2,1.0,2,53.01,3,3174.0,8.5,0.7425322798439694,-0.5622549380539178,-0.0506583630650241,0.0,0.0,0.0,1.0
Agaricaceae,65.22,1,2,2,0.0,2,48.36,1,1316.0,18.8,-0.3149876841933023,-0.6129528519108194,0.6220178962014852,0.0,0.0,0.0,1.0
Agaricaceae,65.95,1,2,2,0.0,1,41.47,0,2864.0,10.2,0.2849515261739959,-0.8284189858026515,0.1867567872643316,1.0,0.0,0.0,0.0
Agaricaceae,59.84,1,2,2,1.0,2,44.45,0,2281.0,13.5,2.5118445273678667,-0.5221190895838707,-1.9104103739783147,0.0,0.0,0.0,1.0
Agaricaceae,109.72,1,0,0,0.0,2,43.65,1,1833.0,15.9,1.1085968827799484,-0.6889997226961718,1.0968481968601973,0.0,0.0,0.0,1.0
Agaricaceae,222.88,0,1,2,1.0,1,46.17,0,2341.0,13.1,0.1730984530546696,0.2953847713586685,-0.881611389217771,0.0,1.0,0.0,0.0
Agaricaceae,105.36,1,0,0,1.0,2,41.05,1,1759.0,16.3,-0.8030738214412735,2.927451465762812,1.3936171347718929,0.0,0.0,1.0,0.0
Agaricaceae,163.44,0,1,1,1.0,2,45.42,1,1687.0,16.7,-1.4741922601572346,-0.5390183942028379,-0.1693659382297024,0.0,0.0,1.0,0.0
Agaricaceae,140.4,1,0,2,0.0,0,39.98,0,2196.0,13.9,-0.2234715334593078,0.39255577291773,0.5824487044799257,1.0,0.0,0.0,0.0
Agaricaceae,75.68,1,2,2,1.0,2,40.53,3,3944.0,4.3,-0.9250953557532664,-0.7650465934815244,0.1076184038212128,1.0,0.0,0.0,0.0
Agaricaceae,96.75,1,0,2,1.0,0,47.21,3,3341.0,7.6,-1.4538553377719028,-0.8284189858026515,0.068049212099654,0.0,1.0,0.0,0.0
Agaricaceae,118.02,1,0,3,0.0,0,46.63,3,3465.0,6.9,0.0205715351646781,-0.8284189858026515,0.5230949168975866,0.0,1.0,0.0,0.0
Agaricaceae,101.98,1,0,3,1.0,2,50.41,3,3721.0,5.5,-0.8742530497899362,-0.0785123433359811,0.1076184038212128,0.0,0.0,0.0,1.0
Agaricaceae,157.85,0,1,1,1.0,3,43.87,3,3679.0,5.8,0.2442776814033316,0.1137172467047709,-2.4445944622193663,0.0,0.0,1.0,0.0
Agaricaceae,111.24,2,1,0,0.0,2,56.01,3,3588.0,6.3,-0.0811130767619821,-0.4650839364948562,-1.633426031927399,0.0,1.0,0.0,0.0
Agaricaceae,137.88,1,0,2,1.0,0,48.2,1,1750.0,16.4,-0.274313839422638,0.2362372051922831,-0.2287197258120415,0.0,0.0,0.0,1.0
Agaricaceae,105.04,2,0,0,1.0,2,48.68,0,2512.0,12.2,-0.6200415199732844,-0.2982033033825551,0.0086954245173149,0.0,0.0,1.0,0.0
Agaricaceae,185.2,0,1,2,1.0,2,53.01,0,2957.0,9.7,0.7425322798439694,-0.8284189858026515,-0.4463502802806182,0.0,1.0,0.0,0.0
Agaricaceae,132.1,1,0,0,1.0,1,41.86,3,3270.0,8.0,-1.0267799676799276,0.1031551813179164,-2.266533099472349,0.0,1.0,0.0,0.0
Agaricaceae,101.37,1,0,0,1.0,0,47.34,0,2981.0,9.6,0.518826133605316,-0.4629715234174854,0.7802946630877222,1.0,0.0,0.0,0.0
Agaricaceae,92.84,2,0,3,1.0,0,46.09,2,4016.0,3.9,-1.687729945203222,0.6481577552796092,-0.3474273009767197,0.0,0.0,1.0,0.0
Agaricaceae,50.71,1,2,2,0.0,1,41.94,0,2887.0,10.1,0.9967438096606211,-0.4693087626495981,0.6813716837838242,0.0,0.0,0.0,1.0
Agaricaceae,253.74,1,1,1,0.0,2,47.76,3,3938.0,4.3,-2.5418806853871723,2.730997049567318,0.4241719375936881,0.0,0.0,0.0,1.0
Agaricaceae,274.13,1,1,2,1.0,2,42.48,0,2266.0,13.5,-0.6403784423586161,-0.6552011134582375,0.2065413831251114,1.0,0.0,0.0,0.0
Agaricaceae,98.88,2,0,3,1.0,2,42.58,3,3644.0,6.0,-0.1929661498813093,-0.8284189858026515,2.481769907114776,0.0,1.0,0.0,0.0
Agaricaceae,80.41,1,2,2,1.0,2,48.57,1,1211.0,19.3,1.159439188743279,-0.6657631788450921,1.7299552644051468,0.0,1.0,0.0,0.0
Agaricaceae,83.37,1,2,2,1.0,0,51.36,3,3746.0,5.4,0.3154569097519943,-0.3658005218584239,-0.4265656844198385,0.0,1.0,0.0,0.0
Agaricaceae,135.08,1,0,2,1.0,2,42.81,0,2825.0,10.5,0.8543853529632965,-0.8284189858026515,0.503310321036807,0.0,1.0,0.0,0.0
Agaricaceae,270.32,1,1,1,1.0,1,49.85,1,1612.0,17.1,-0.3861669125419642,0.305946836745523,1.9673704147345032,0.0,1.0,0.0,0.0
Agaricaceae,96.4,1,0,2,1.0,2,43.94,0,2771.0,10.8,1.1289338051652802,-0.8284189858026515,-1.5938568402058395,1.0,0.0,0.0,0.0
Agaricaceae,118.08,1,0,0,0.0,2,50.21,3,3910.0,4.5,0.152761530669337,-0.4397349795664055,0.0086954245173149,0.0,0.0,1.0,0.0
Agaricaceae,89.14,1,2,2,0.0,2,50.45,1,1236.0,19.2,0.2239407590179998,-0.2306060849066861,-1.257518710572585,1.0,0.0,0.0,0.0
Agaricaceae,98.87,2,0,0,1.0,2,46.26,0,2748.0,10.9,-0.4980199856612914,-0.3552384564715694,-0.0110891713434647,1.0,0.0,0.0,0.0
Agaricaceae,230.93,1,1,1,1.0,0,48.9,3,3526.0,6.6,-0.8945899721752679,-0.5200066765064998,1.6310322851012482,0.0,0.0,1.0,0.0
Agaricaceae,110.67,1,0,2,1.0,3,49.03,0,2072.0,14.6,0.0409084575500108,-0.6066156126787068,-0.1891505340904821,0.0,1.0,0.0,0.0
Agaricaceae,85.26,1,2,2,0.0,2,46.42,1,1795.0,16.1,1.02724919323862,-0.2876412379957005,-0.1100121506473632,1.0,0.0,0.0,0.0
Agaricaceae,90.26,2,0,0,0.0,2,48.63,1,1596.0,17.2,-0.4776830632759596,-0.8284189858026515,-0.7629038140530929,1.0,0.0,0.0,0.0
Agaricaceae,205.25,1,1,1,1.0,2,48.14,1,1595.0,17.2,0.8543853529632965,-0.4904328934233071,-0.3474273009767197,1.0,0.0,0.0,0.0
